Date,Open,High,Low,Close,Volume
2022/5/19,90,92.25,88.65,90.85,3.73M
2022/5/20,92.45,98.35,92.45,97.2,4.71M
2022/5/23,93,93.9,88.1,90.85,7.18M
2022/5/24,88,88.15,82.1,82.55,11.78M
2022/5/25,81.8,84.4,80.75,81.9,5.53M
2022/5/26,82,82.2,78,81.2,5.35M
2022/5/27,86,86.4,83.2,84.6,4.15M
2022/5/30,87.2,89.85,87.2,89.65,5.53M
2022/5/31,88.3,93,88.3,92.4,4.32M
2022/6/1,92.9,94.8,91.55,92.95,2.84M
2022/6/2,91.45,91.75,89.5,91.5,3.63M
2022/6/6,94.7,99.65,92.1,99.1,6.95M
2022/6/7,99.4,102.1,97.15,98.65,5.56M
2022/6/8,101.2,107.5,101.2,104.7,6.99M
2022/6/9,108.8,109.6,104.6,105.4,4.76M
2022/6/10,101,111,100.8,108,9.47M
2022/6/13,102,104.9,100.3,100.5,6.16M
2022/6/14,96,100.9,94.5,99.5,7.37M
2022/6/15,102.4,108.5,102.2,106.1,9.25M
2022/6/16,108.6,110.9,101.5,102.1,5.83M
2022/6/17,100,108.3,99.25,107.7,8.05M
2022/6/20,110.1,124,108.6,121.7,12.78M
2022/6/21,123.1,123.9,116.2,118,8.86M
2022/6/22,121.4,126,115.7,115.7,10.81M
2022/6/23,121,129.3,120.1,127,9.85M
2022/6/24,131,140.5,131,136.3,12.90M
2022/6/27,140.8,142.8,134.9,138,10.26M
2022/6/28,135.1,136.7,130.5,135.1,13.06M
2022/6/29,128.8,129.7,122,125.1,12.25M
2022/6/30,126.7,130.3,124.3,126.4,8.12M
2022/7/4,119.9,122.6,117.4,121.5,8.19M
2022/7/5,122.3,127.6,119,121.6,6.09M
2022/7/6,125.3,128,120.9,125,4.48M
2022/7/7,120.6,126.7,119.1,124.5,7.03M
2022/7/8,128,131.2,123.8,125,5.21M
2022/7/11,125,125.8,115.3,118,6.25M
2022/7/12,115.1,116.6,110.1,113.4,6.92M
2022/7/13,113.9,118.6,113.2,116.4,4.12M
2022/7/14,115.1,121.2,114.9,118.1,4.22M
2022/7/15,118.1,120.9,113.8,115.7,4.27M
2022/7/18,115,115.6,107.9,113.9,11.69M
2022/7/19,112,112,105.6,107.5,8.69M
2022/7/20,108.7,108.7,103.5,104.1,8.22M
2022/7/21,104.1,105.9,101.2,102.6,6.81M
2022/7/22,105,105.5,102.6,103.2,3.63M
2022/7/25,99,99,94.1,96.7,11.89M
2022/7/26,95.95,99.5,95.95,98.75,5.96M
2022/7/27,96.9,97.1,95.35,96.8,3.86M
2022/7/28,97.8,98.7,95.45,95.95,3.80M
2022/7/29,95.95,96.9,90.8,92,7.23M
2022/8/1,93.5,99.5,93.5,98.2,8.13M
2022/8/2,96,96,91.7,92.45,6.06M
2022/8/3,93.8,94.5,89.95,91.25,10.80M
2022/8/4,91.75,91.8,88.5,89.95,6.30M
2022/8/5,93.5,94.35,91.8,93.1,6.30M
2022/8/8,90.85,92,89.5,90.8,3.00M
2022/8/9,90.5,93.65,90.05,91.4,3.37M
2022/8/10,89.8,89.8,84.1,86.45,10.62M
2022/8/11,88.45,91.8,87.9,90.85,6.24M
2022/8/12,96.2,96.8,94.1,94.9,5.35M
2022/8/15,94,94.85,91.95,92.1,4.25M
2022/8/16,91.95,93.2,87.7,89.1,6.53M
2022/8/17,90,90.25,88.45,89.75,2.24M
